user_country,user_age,user_gender,user_id,iteration_1_ndcg@10,iteration_1_average_pop,iteration_2_ndcg@10,iteration_2_average_pop,train_pop
RU,26,m,82,0.0,0.0043010439991857385,0.2960819109658652,0.011673015965335737,0.0018084595922877832
FI,25,m,83,0.7967610662472993,0.004562770814552012,0.7819835854675755,0.0039927879721987965,0.0022294938521982555
RU,34,m,84,0.0,0.0010425451478756507,0.0,0.004942274696833106,0.001932254760358404
DE,27,m,85,0.1815417925373526,0.0019062436385843488,0.4599715079731103,0.00291970802919708,0.0034733329455899032
DZ,24,m,86,0.8318724637288826,0.020074446738593075,0.561692774772731,0.01607002646348911,0.003278509181902906
UK,22,m,87,0.727329844310522,0.0054439177596184605,0.6325414799409712,0.0035478523860761335,0.002401013067834832
NL,24,m,88,0.3026024134988134,0.010599936022334023,0.1089364926177558,0.005486084857649693,0.0029848671009393085
CH,22,m,89,0.0,0.01101724488905691,0.4703652827859579,0.00464565097275133,0.0016422975022690645
BR,25,m,90,1.0,0.036733358536656296,1.0,0.008865268851600897,0.0006115252016827918
US,25,m,91,0.6366824387328317,0.018150754645650975,0.4123144993714362,0.029391921365632363,0.003244658564983106
DE,28,m,92,1.0,0.00478960072120278,0.0,0.013086340768313606,0.0010469072614650886
FI,23,m,93,0.7653606369886217,0.0028208334545031548,0.5531464700081437,0.007502835373833135,0.002367173641201617
OM,26,m,94,0.6131471927654584,0.014043097682263648,0.0,0.009432343618227819,0.0009742053683077907
NL,24,m,95,0.5271064966405455,0.00519236920929421,0.4283854321084119,0.005036787157937593,0.0024261088639482118
SE,27,m,96,0.6713860725233041,0.006152034198970541,0.544192623472237,0.004234158257481025,0.010244124404058304
SE,23,m,97,0.2200917662980801,0.005416291040218688,0.2965933967560252,0.004423183179689999,0.0012476121599517926
CA,23,m,98,0.3785988060390612,0.006131677668886498,0.45449827622138,0.006375956029895019,0.003348127939968538
US,42,m,99,0.793584067764911,0.006505365399715008,0.9305687780632228,0.004773606304708174,0.0016040443592431723
FI,31,m,100,0.0,0.005845232209846745,0.4692787260227564,0.0061273155552970604,0.0012816305165157928
PL,37,m,101,0.0,0.03488236833687149,0.2960819109658652,0.011777706691482247,0.01169773460900922
US,21,m,102,0.6015720654566381,0.009365457876523105,0.6994739030813919,0.004034955070230028,0.006048290288176778
CZ,22,m,103,0.0,0.002810655189461134,0.3903800499921017,0.007572629191264141,0.007778063969357191
IR,25,m,104,0.3903800499921017,0.0032614069270363805,0.3465620753753258,0.007182947043941024,0.000983898954062097
FI,23,f,105,1.0,0.006945938872248233,0.6366824387328317,0.010045947596475414,0.0012889007058315227
FI,22,f,106,0.4443361827137306,0.01034547939628348,0.2529427027676571,0.004965539302643441,0.00438957874907507
UK,20,f,107,0.4434963547407068,0.02092796696425975,0.4440973278132557,0.01145927239945328,0.00323862700051376
US,27,m,108,0.0,0.009515223776427138,0.5274486902992358,0.00478960072120278,0.0013041601141755268
UA,28,m,109,,,,,
BR,24,m,110,0.0,0.010864570913426585,0.169580102636808,0.0058190595283101176,0.001918118281133374
US,30,m,111,1.0,0.0025794631692209265,1.0,0.0055137115770494665,0.001690319015907174
DK,30,m,112,0.4692787260227564,0.0065533486491988245,0.3391602052736161,0.010045947596475414,0.008276896706860836
NL,34,m,113,0.933745776545611,0.005394480472271498,0.9363792118010484,0.004379562043795621,0.002851097730957007
US,24,f,114,,,,,
NL,39,m,115,0.0,0.004661645389245936,0.123151194370365,0.005215633815104545,0.002892213495057593
US,25,m,116,0.5531464700081437,0.017345217669468112,0.5726647810251273,0.00884200424579056,0.009500198718507963
NO,35,f,117,1.0,0.006105504987349871,1.0,0.0023788059441067844,0.0022895818725638135
CZ,30,m,118,0.6366824387328317,0.005356675487829704,0.5413753343496284,0.006056067700002908,0.006115177500091668
RU,34,m,119,1.0,0.00247041032948498,1.0,0.014966411725361329,0.003807347584578105
UK,22,m,120,1.0,0.00858318550615058,0.1175161047564271,0.017028237415302294,0.0016878956194685977
US,32,f,121,0.24630238874073,0.004056765638177218,0.0,0.005757989938057987,0.0022882247705582107
BR,28,f,122,,,,,
BR,25,m,123,0.7909506325094737,0.003870648791694536,0.7753366239771086,0.0029487887864599995,0.0014488551539307826
BA,23,f,124,1.0,0.005670747666269229,0.6508205185601091,0.004859394538633786,0.0013086340768313609
FR,33,m,125,1.0,0.004129467531334516,0.1951900249960508,0.006279989530927385,0.0018063624222928612
SK,26,m,126,0.5384313152574521,0.01088492744351063,0.5384313152574521,0.003864832640241952,0.004797298568713553
NL,37,m,127,1.0,0.005347951260650827,1.0,0.005329048768429929,0.0021865028274427175
AU,24,m,128,0.5087403079104241,0.004305406112775177,0.7211689601674283,0.003406810713350976,0.0017826504202169424
US,23,m,129,0.7767471075223497,0.009884549393666212,0.5423640154200349,0.0125672492511705,0.0026425460426681823
NO,37,m,130,0.0,0.005211271701515108,0.0,0.0020807281821618633,0.002085938484504803
DE,24,m,131,0.6309297535714575,0.003361735539593451,0.4892742134203657,0.004389740308837642,0.0014260755965469956
UK,36,m,132,1.0,0.0033137522901096348,1.0,0.0033428330473725537,0.0030455688542320117
US,21,f,133,0.9363792118010484,0.010892197632826358,0.7967610662472993,0.005534068107133509,0.012919372265864433
US,31,m,134,0.6867151830982591,0.0028499142117660746,0.6083169141195838,0.0041469159856922675,0.0015054286670113438
UK,19,m,135,1.0,0.007853258498851311,1.0,0.004501701224299881,0.0032036971204181404
RU,25,m,136,1.0,0.001795736760985256,0.1564262420075854,0.005803065111815512,0.003896821473231163
HR,49,m,137,0.892210845475489,0.002787390583650798,0.8104616303452685,0.004731439206676942,0.001182930158340033
SE,19,f,138,0.6366824387328317,0.0033442870852356996,0.0,0.006070608078634368,0.0008092036803594888
RU,27,m,139,,,,,
PL,24,m,140,0.9674679834891692,0.0011937650856428301,0.787702056960637,0.004696542297961439,0.0010456428807145268
US,21,f,141,0.9292442392789194,0.002857184401081804,0.909008065625576,0.012997644458661705,0.0012660410485169841
US,36,m,142,0.4935232796777481,0.0012402942972635008,0.5109271022449579,0.0020414691598569226,0.002263564989743961
DE,26,m,143,0.7222954974312066,0.010995434321109722,0.7846170207230129,0.005964463314624713,0.00761616479551951
