user_id,_AU,_BR,_CA,_DE,_FR,_JP,_NZ,_SE,_UK,_US
97,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
98,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
99,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
100,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.5
101,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
102,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
103,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
104,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
105,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
106,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
107,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
108,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
110,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
111,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
112,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
113,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
115,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
116,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
117,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
118,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
119,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
120,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
121,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.6
123,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
124,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
125,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
